Aquaparamyxovirus.pssms	C	Aquaparamyxo.C.pssm	C Protein
Aquaparamyxovirus.pssms	F	Aquaparamyxo.F.pssm	Fusion Glycoprotein, F Protein
Aquaparamyxovirus.pssms	HN	Aquaparamyxo.HN.pssm	Hemagglutinin Neuraminidase Protein, HN Protein
Aquaparamyxovirus.pssms	L	Aquaparamyxo.L.pssm	RNA Dependent RNA Polymerase, L Protein
Aquaparamyxovirus.pssms	M	Aquaparamyxo.M.pssm	Matrix Protein, M Protein
Aquaparamyxovirus.pssms	N	Aquaparamyxo.N.pssm	Nucleocapsid Protein, N Protein
Aquaparamyxovirus.pssms	P	Aquaparamyxo.P.pssm	Phosphoprotein, P Protein
Aquaparamyxovirus.pssms	V-ORF2	Aquaparamyxo.V-ORF2.pssm	V Protein, ORF2
Arenaviridae.pssms	GP2	Arenaviridae.GP2.1.pssm	Mature Envelope Glycoprotein Gc, Gc (GP2) Protein
Arenaviridae.pssms	GP2	Arenaviridae.GP2.2.pssm	Mature Envelope Glycoprotein Gc, Gc (GP2) Protein
Arenaviridae.pssms	GPC	Arenaviridae.GPC.1.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Arenaviridae.pssms	GPC	Arenaviridae.GPC.2.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Arenaviridae.pssms	L	Arenaviridae.L.1.pssm	RNA Dependent RNA Polymerase, L Protein
Arenaviridae.pssms	L	Arenaviridae.L.2.pssm	RNA Dependent RNA Polymerase, L Protein
Arenaviridae.pssms	N	Arenaviridae.N.1.pssm	Nucleocapsid Protein, N Protein
Arenaviridae.pssms	N	Arenaviridae.N.2.pssm	Nucleocapsid Protein, N Protein
Arenaviridae.pssms	N	Arenaviridae.N.3.pssm	Nucleocapsid Protein, N Protein
Arenaviridae.pssms	SSP	SSP.pssm	Mature Stable Signal Peptide, SSP
Arenaviridae.pssms	Z	Arenaviridae.Z.1.pssm	RING Finger Protein Z, Z Protein
Arenaviridae.pssms	Z	Arenaviridae.Z.2.pssm	RING Finger Protein Z, Z Protein
Ferlavirus.pssms	F	Ferla.F.1.pssm	Fusion Glycoprotein, F Protein
Ferlavirus.pssms	F	Ferla.F.2.pssm	Fusion Glycoprotein, F Protein
Ferlavirus.pssms	HN	Ferla.HN.pssm	Hemagglutinin Neuraminidase Protein, HN Protein
Ferlavirus.pssms	I	Ferla.I.pssm	I Protein
Ferlavirus.pssms	L	Ferla.L.pssm	RNA Dependent RNA Polymerase, L Protein
Ferlavirus.pssms	M	Ferla.M.pssm	Matrix Protein, M Protein
Ferlavirus.pssms	N	Ferla.N.pssm	Nucleocapsid Protein, N Protein
Ferlavirus.pssms	P-ORF2	Ferla.P-ORF2.pssm	Phosphoprotein, P Protein, ORF2
Ferlavirus.pssms	P	Ferla.P.pssm	Phosphoprotein, P Protein
Ferlavirus.pssms	U	Ferla.U.pssm	Uncharacterized Protein, U Protein
Ferlavirus.pssms	V-ORF2	Ferla.V-ORF2.pssm	V Protein, ORF2
Hantaviridae.pssms	GPC	Hantaviridae.GPC.1.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.10.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.11.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.2.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.3.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.4.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.5.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.6.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.7.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.8.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	GPC	Hantaviridae.GPC.9.pssm	Pre-glycoprotein Polyprotein GP Complex, GPC Protein
Hantaviridae.pssms	Gc	Hantaviridae.Gc.1.pssm	Mature Envelope Glycoprotein Gc, Gc Protein
Hantaviridae.pssms	Gn	Hantaviridae.Gn.1.pssm	Mature Envelope Glycoprotein Gn, Gn Protein
Hantaviridae.pssms	L	Hantaviridae.L.1.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	L	Hantaviridae.L.2.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	L	Hantaviridae.L.3.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	L	Hantaviridae.L.4.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	L	Hantaviridae.L.5.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	L	Hantaviridae.L.6.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	L	Hantaviridae.L.7.pssm	RNA Dependent RNA Polymerase, L Protein
Hantaviridae.pssms	N	Hantaviridae.N.1.pssm	Nucleocapsid Protein, N Protein
