Taxon	PSSM_Name	Feat_Type	Anno
Aquaparamyxovirus	C	CDS	Paramyxoviridae C protein
Aquaparamyxovirus	F	CDS	Fusion glycoprotein
Aquaparamyxovirus	HN	CDS	Receptor binding protein
Aquaparamyxovirus	L	CDS	RNA-dependent RNA polymerase
Aquaparamyxovirus	M	CDS	Matrix protein
Aquaparamyxovirus	N	CDS	Nucleocapsid protein
Aquaparamyxovirus	P	CDS	Phosphoprotein
Aquaparamyxovirus	V	CDS	Paramyxoviridae V protein
Aquaparamyxovirus	W	CDS	Paramyxoviridae W protein
Arenaviridae	GP1	mat_peptide	Mature envelope glycoprotein Gn
Arenaviridae	GP2	mat_peptide	Mature envelope glycoprotein Gc
Arenaviridae	GPC	CDS	Pre-glycoprotein polyprotein GP complex
Arenaviridae	L	CDS	RNA-dependent RNA polymerase
Arenaviridae	Large Segment Stemloop	RNA	Large segment stemloop region
Arenaviridae	N	CDS	Nucleocapsid protein
Arenaviridae	SSP	mat_peptide	Signal peptide
Arenaviridae	Small Segment Stemloop	RNA	Small segment stemloop region
Arenaviridae	Z	CDS	Arenaviridae RING finger protein Z protein
Ferlavirus	F	CDS	Fusion glycoprotein
Ferlavirus	HN	CDS	Receptor binding protein
Ferlavirus	I	CDS	Paramyxoviridae I protein
Ferlavirus	L	CDS	RNA-dependent RNA polymerase
Ferlavirus	M	CDS	Matrix protein
Ferlavirus	N	CDS	Nucleocapsid protein
Ferlavirus	P	CDS	Phosphoprotein
Ferlavirus	U	CDS	Paramyxoviridae uncharacterized protein (U protein)
Ferlavirus	V	CDS	Paramyxoviridae V protein
Ferlavirus	W	CDS	Paramyxoviridae W protein
Fimoviridae	GPC	CDS	Pre-glycoprotein polyprotein GP complex
Fimoviridae	L	CDS	RNA-dependent RNA polymerase
Fimoviridae	MOV	CDS	Movement protein
Fimoviridae	N	CDS	Nucleocapsid protein
Fimoviridae	P7	CDS	Fimoviridae RNA silencing suppressor protein P7
Fimoviridae	P8	CDS	Fimoviridae RNA silencing suppressor protein P8
Fimoviridae	UNC1	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC10	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC11	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC12	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC13	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC14	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC15	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC2	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC3	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC4	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC5	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC6	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC7	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC8	CDS	Fimoviridae uncharacterized protein
Fimoviridae	UNC9	CDS	Fimoviridae uncharacterized protein
Hantaviridae	GPC	CDS	Pre-glycoprotein polyprotein GP complex
Hantaviridae	Gc	mat_peptide	Mature envelope glycoprotein Gc
Hantaviridae	Gn	mat_peptide	Mature envelope glycoprotein Gn
Hantaviridae	L	CDS	RNA-dependent RNA polymerase
Hantaviridae	N	CDS	Nucleocapsid protein
Hantaviridae	NSs	CDS	Bunyavirales small nonstructural protein NSs
Henipavirus	C	CDS	Paramyxoviridae C protein
Henipavirus	F	CDS	Fusion glycoprotein
Henipavirus	G	CDS	Receptor binding protein
Henipavirus	L	CDS	RNA-dependent RNA polymerase
Henipavirus	M	CDS	Matrix protein
Henipavirus	N	CDS	Nucleocapsid protein
Henipavirus	P	CDS	Phosphoprotein
Henipavirus	V	CDS	Paramyxoviridae V protein
Henipavirus	W	CDS	Paramyxoviridae W protein
Jeilongvirus	C	CDS	Paramyxoviridae C protein
Jeilongvirus	F	CDS	Fusion glycoprotein
Jeilongvirus	G	CDS	Receptor binding protein
Jeilongvirus	L	CDS	RNA-dependent RNA polymerase
Jeilongvirus	M	CDS	Matrix protein
Jeilongvirus	N	CDS	Nucleocapsid protein
Jeilongvirus	P	CDS	Phosphoprotein
Jeilongvirus	SH	CDS	Paramyxoviridae small hydorophobic protein
Jeilongvirus	TM	CDS	Paramyxoviridae transmembrane protein
Jeilongvirus	V	CDS	Paramyxoviridae V protein
Jeilongvirus	W	CDS	Paramyxoviridae W protein
Metaavulavirus	F	CDS	Fusion glycoprotein
Metaavulavirus	HN	CDS	Receptor binding protein
Metaavulavirus	L	CDS	RNA-dependent RNA polymerase
Metaavulavirus	M	CDS	Matrix protein
Metaavulavirus	N	CDS	Nucleocapsid protein
Metaavulavirus	P	CDS	Phosphoprotein
Metaavulavirus	SH	CDS	Paramyxoviridae small hydorophobic protein
Metaavulavirus	V	CDS	Paramyxoviridae V protein
Metaavulavirus	W	CDS	Paramyxoviridae W protein
Metapneumovirus	F	CDS	Fusion glycoprotein precursor F0
Metapneumovirus	F1	mat_peptide	Mature C-terminal fusion protein subunit (F1)
Metapneumovirus	F2	mat_peptide	Mature N-terminal fusion protein subunit (F2)
Metapneumovirus	G	CDS	Receptor binding protein
Metapneumovirus	L	CDS	RNA-dependent RNA polymerase
Metapneumovirus	M	CDS	Matrix protein
Metapneumovirus	M2-1	CDS	Transcription elongation factor M2-1
Metapneumovirus	M2-2	CDS	Transcription-replication factor M2-2
Metapneumovirus	N	CDS	Nucleocapsid protein
Metapneumovirus	P	CDS	Phosphoprotein
Metapneumovirus	SH	CDS	Pneumoviridae small hydorophobic protein
Metapneumovirus	SP	mat_peptide	Signal peptide
Morbillivirus	C	CDS	Paramyxoviridae C protein
Morbillivirus	F	CDS	Fusion glycoprotein
Morbillivirus	H	CDS	Receptor binding protein
Morbillivirus	L	CDS	RNA-dependent RNA polymerase
Morbillivirus	M	CDS	Matrix protein
Morbillivirus	N	CDS	Nucleocapsid protein
Morbillivirus	P	CDS	Phosphoprotein
Morbillivirus	V	CDS	Paramyxoviridae V protein
Nairoviridae	GP38	mat_peptide	Nairoviridae mature secreted nonstructural 38-kD protein
Nairoviridae	GP85-160	mat_peptide	Nairoviridae mature secreted nonstructural GP160/85 protein
Nairoviridae	GPC	CDS	Pre-glycoprotein polyprotein GP complex
Nairoviridae	Gc	mat_peptide	Mature envelope glycoprotein Gc
Nairoviridae	Gn	mat_peptide	Mature envelope glycoprotein Gn
Nairoviridae	L	CDS	RNA-dependent RNA polymerase
Nairoviridae	MLD	mat_peptide	Mature secreted nonstructural mucin-like protein (MLD)
Nairoviridae	N	CDS	Nucleocapsid protein
Nairoviridae	NSm	mat_peptide	Bunyavirales mature nonstructural membrane protein (NSm)
Nairoviridae	NSs	CDS	Bunyavirales small nonstructural protein NSs
Narmovirus	C	CDS	Paramyxoviridae C protein
Narmovirus	F	CDS	Fusion glycoprotein
Narmovirus	L	CDS	RNA-dependent RNA polymerase
Narmovirus	M	CDS	Matrix protein
Narmovirus	N	CDS	Nucleocapsid protein
Narmovirus	P	CDS	Phosphoprotein
Narmovirus	RBP	CDS	Receptor binding protein
Narmovirus	V	CDS	Paramyxoviridae V protein
Narmovirus	W	CDS	Paramyxoviridae W protein
Orthoavulavirus	F	CDS	Fusion glycoprotein
Orthoavulavirus	HN	CDS	Receptor binding protein
Orthoavulavirus	L	CDS	RNA-dependent RNA polymerase
